Title,Genre,Director,Actors,Year,Runtime (Minutes),Revenue (Millions)
Fury,"'Action,Drama,War'",'David Ayer',"'Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña'",2014,134,85.71
Legion,"'Action,Fantasy,Horror'",'Scott Stewart',"'Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black'",2010,100,40.17
Underworld Awakening,"'Action,Fantasy,Horror'",'Måns Mårlind',"'Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea'",2012,88,62.32
Ghost Rider,"'Action,Fantasy,Thriller'",'Mark Steven Johnson',"'Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long'",2007,114,115.8
300,"'Action,Fantasy,War'",'Zack Snyder',"'Gerard Butler, Lena Headey, David Wenham, Dominic West'",2006,117,210.59
Sucker Punch,"'Action,Fantasy'",'Zack Snyder',"'Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone'",2011,110,36.38
Pandorum,"'Action,Horror,Mystery'",'Christian Alvart',"'Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue'",2009,108,10.33
Cloverfield,"'Action,Horror,Sci-Fi'",'Matt Reeves',"'Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller'",2008,85,80.03
The Purge: Election Year,"'Action,Horror,Sci-Fi'",'James DeMonaco',"'Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria'",2016,109,79
Grindhouse,"'Action,Horror,Thriller'",'Robert Rodriguez',"'Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell'",2007,191,25.03
The Belko Experiment,"'Action,Horror,Thriller'",'Greg McLean',"'John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley'",2016,89,10.16
The Stakelander,"'Action,Horror'",'Dan Berk',"'Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson'",2016,81,
The Maze Runner,"'Action,Mystery,Sci-Fi'",'Wes Ball',"'Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster'",2014,113,102.41
Eagle Eye,"'Action,Mystery,Thriller'",'D.J. Caruso',"'Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis'",2008,118,101.11
The Bourne Ultimatum,"'Action,Mystery,Thriller'",'Paul Greengrass',"'Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles'",2007,115,227.14
Unknown,"'Action,Mystery,Thriller'",'Jaume Collet-Serra',"'Liam Neeson, Diane Kruger, January Jones,Aidan Quinn'",2011,113,61.09
Death Race,"'Action,Sci-Fi,Thriller'",'Paul W.S. Anderson',"'Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane'",2008,105,36.06
Deja Vu,"'Action,Sci-Fi,Thriller'",'Tony Scott',"'Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer'",2006,126,
District 9,"'Action,Sci-Fi,Thriller'",'Neill Blomkamp',"'Sharlto Copley, David James, Jason Cope, Nathalie Boltt'",2009,112,115.65
In Time,"'Action,Sci-Fi,Thriller'",'Andrew Niccol',"'Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde'",2011,109,37.55
Lucy,"'Action,Sci-Fi,Thriller'",'Luc Besson',"'Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked'",2014,89,126.55
Maze Runner: The Scorch Trials,"'Action,Sci-Fi,Thriller'",'Wes Ball',"'Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito'",2015,131,81.69
Riddick,"'Action,Sci-Fi,Thriller'",'David Twohy',"'Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà'",2013,119,42
Dredd,"'Action,Sci-Fi'",'Pete Travis',"'Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood'",2012,95,13.4
Ender's Game,"'Action,Sci-Fi'",'Gavin Hood',"'Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin'",2013,114,61.66
The Avengers,"'Action,Sci-Fi'",'Joss Whedon',"'Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner'",2012,143,623.28
Rambo,"'Action,Thriller,War'",'Sylvester Stallone',"'Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish'",2008,92,42.72
Jason Bourne,"'Action,Thriller'",'Paul Greengrass',"'Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel'",2016,123,162.16
No Escape,"'Action,Thriller'",'John Erick Dowdle',"'Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak'",2015,103,27.29
Olympus Has Fallen,"'Action,Thriller'",'Antoine Fuqua',"'Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett'",2013,119,98.9
Red Dawn,"'Action,Thriller'",'Dan Bradley',"'Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck'",2012,93,44.8
Taken,"'Action,Thriller'",'Pierre Morel',"'Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser'",2008,93,145
Taken 3,"'Action,Thriller'",'Olivier Megaton',"'Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen'",2014,109,89.25
The Dark Knight Rises,"'Action,Thriller'",'Christopher Nolan',"'Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman'",2012,164,448.13
Unstoppable,"'Action,Thriller'",'Tony Scott',"'Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee'",2010,98,81.56
127 Hours,"'Adventure,Biography,Drama'",'Danny Boyle',"'James Franco, Amber Tamblyn, Kate Mara, Sean Bott'",2010,94,18.33
Into the Wild,"'Adventure,Biography,Drama'",'Sean Penn',"'Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden'",2007,148,18.35
Rescue Dawn,"'Adventure,Biography,Drama'",'Werner Herzog',"'Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier'",2006,120,5.48
Wild,"'Adventure,Biography,Drama'",'Jean-Marc Vallee',"'Reese Witherspoon, Laura Dern, Gaby Hoffmann,Michiel Huisman'",2014,115,37.88
Hunt for the Wilderpeople,"'Adventure,Comedy,Drama'",'Taika Waititi',"'Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House'",2016,101,5.2
Into the Woods,"'Adventure,Comedy,Drama'",'Rob Marshall',"'Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt'",2014,125,128
The Grand Budapest Hotel,"'Adventure,Comedy,Drama'",'Wes Anderson',"'Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody'",2014,99,59.07
The Kings of Summer,"'Adventure,Comedy,Drama'",'Jordan Vogt-Roberts',"'Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman'",2013,95,1.29
The Secret Life of Walter Mitty,"'Adventure,Comedy,Drama'",'Ben Stiller',"'Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn'",2013,114,58.23
Goosebumps,"'Adventure,Comedy,Family'",'Rob Letterman',"'Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee'",2015,103,80.02
Zombieland,"'Adventure,Comedy,Horror'",'Ruben Fleischer',"'Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin'",2009,88,75.59
Paul,"'Adventure,Comedy,Sci-Fi'",'Greg Mottola',"'Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard'",2011,104,37.37
Vacation,"'Adventure,Comedy'",'John Francis Daley',"'Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins'",2015,99,58.88
Bridge to Terabithia,"'Adventure,Drama,Family'",'Gabor Csupo',"'Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick'",2007,96,82.23
Hugo,"'Adventure,Drama,Family'",'Martin Scorsese',"'Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley'",2011,126,73.82
Miss Peregrine's Home for Peculiar Children,"'Adventure,Drama,Family'",'Tim Burton',"'Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench'",2016,127,87.24
The Jungle Book,"'Adventure,Drama,Family'",'Jon Favreau',"'Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba'",2016,106,364
Harry Potter and the Deathly Hallows: Part 2,"'Adventure,Drama,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon'",2011,130,380.96
Life of Pi,"'Adventure,Drama,Fantasy'",'Ang Lee',"'Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu'",2012,127,124.98
The Twilight Saga: Breaking Dawn - Part 1,"'Adventure,Drama,Fantasy'",'Bill Condon',"'Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham'",2011,117,281.28
The Twilight Saga: Breaking Dawn - Part 2,"'Adventure,Drama,Fantasy'",'Bill Condon',"'Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli'",2012,115,292.3
The Twilight Saga: Eclipse,"'Adventure,Drama,Fantasy'",'David Slade',"'Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel'",2010,124,300.52
Silence,"'Adventure,Drama,History'",'Martin Scorsese',"'Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano'",2016,161,7.08
Bone Tomahawk,"'Adventure,Drama,Horror'",'S. Craig Zahler',"'Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins'",2015,132,66.01
Australia,"'Adventure,Drama,Romance'",'Baz Luhrmann',"'Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo'",2008,165,49.55
Passengers,"'Adventure,Drama,Romance'",'Morten Tyldum',"'Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne'",2016,116,100.01
Interstellar,"'Adventure,Drama,Sci-Fi'",'Christopher Nolan',"'Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy'",2014,169,187.99
The Martian,"'Adventure,Drama,Sci-Fi'",'Ridley Scott',"'Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara'",2015,144,228.43
Blood Diamond,"'Adventure,Drama,Thriller'",'Edward Zwick',"'Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers'",2006,143,57.37
Gold,"'Adventure,Drama,Thriller'",'Stephen Gaghan',"'Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll'",2016,120,7.22
The Revenant,"'Adventure,Drama,Thriller'",'Alejandro González Iñárritu',"'Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson'",2015,156,183.64
Inglourious Basterds,"'Adventure,Drama,War'",'Quentin Tarantino',"'Brad Pitt, Diane Kruger, Eli Roth,Melanie Laurent'",2009,153,120.52
True Grit,"'Adventure,Drama,Western'",'Ethan Coen',"'Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin'",2010,110,171.03
The Road,"'Adventure,Drama'",'John Hillcoat',"'Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,Robert Duvall'",2009,111,0.06
Alice in Wonderland,"'Adventure,Family,Fantasy'",'Tim Burton',"'Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway'",2010,108,334.19
Alice Through the Looking Glass,"'Adventure,Family,Fantasy'",'James Bobin',"'Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway'",2016,113,77.04
Fantastic Beasts and Where to Find Them,"'Adventure,Family,Fantasy'",'David Yates',"'Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler'",2016,133,234.02
Harry Potter and the Deathly Hallows: Part 1,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy'",2010,146,294.98
Harry Potter and the Half-Blood Prince,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon'",2009,153,301.96
Harry Potter and the Order of the Phoenix,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson'",2007,138,292
Oz the Great and Powerful,"'Adventure,Family,Fantasy'",'Sam Raimi',"'James Franco, Michelle Williams, Rachel Weisz, Mila Kunis'",2013,130,234.9
Pan,"'Adventure,Family,Fantasy'",'Joe Wright',"'Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara'",2015,111,34.96
Percy Jackson & the Olympians: The Lightning Thief,"'Adventure,Family,Fantasy'",'Chris Columbus',"'Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson'",2010,118,88.76
Percy Jackson: Sea of Monsters,"'Adventure,Family,Fantasy'",'Thor Freudenthal',"'Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion'",2013,106,68.56
Pete's Dragon,"'Adventure,Family,Fantasy'",'David Lowery',"'Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence'",2016,102,76.2
Stardust,"'Adventure,Family,Fantasy'",'Matthew Vaughn',"'Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen'",2007,127,38.35
The BFG,"'Adventure,Family,Fantasy'",'Steven Spielberg',"'Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement'",2016,117,55.47
The Golden Compass,"'Adventure,Family,Fantasy'",'Chris Weitz',"'Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker'",2007,113,70.08
The Hobbit: An Unexpected Journey,"'Adventure,Fantasy'",'Peter Jackson',"'Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis'",2012,169,303
The Hobbit: The Battle of the Five Armies,"'Adventure,Fantasy'",'Peter Jackson',"'Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett'",2014,144,255.11
The Hobbit: The Desolation of Smaug,"'Adventure,Fantasy'",'Peter Jackson',"'Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott'",2013,161,258.36
Silent Hill,"'Adventure,Horror,Mystery'",'Christophe Gans',"'Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger'",2006,125,46.98
Beyond the Gates,"'Adventure,Horror'",'Jackson Stewart',"'Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton'",2016,84,
The Green Inferno,"'Adventure,Horror'",'Eli Roth',"'Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton'",2013,100,7.19
Divergent,"'Adventure,Mystery,Sci-Fi'",'Neil Burger',"'Shailene Woodley, Theo James, Kate Winslet, Jai Courtney'",2014,139,150.83
Prometheus,"'Adventure,Mystery,Sci-Fi'",'Ridley Scott',"'Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron'",2012,124,126.46
Insurgent,"'Adventure,Sci-Fi,Thriller'",'Robert Schwentke',"'Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet'",2015,119,130
Sunshine,"'Adventure,Sci-Fi,Thriller'",'Danny Boyle',"'Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh'",2007,107,3.68
The Hunger Games,"'Adventure,Sci-Fi,Thriller'",'Gary Ross',"'Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci'",2012,142,408
Beowulf,"'Animation,Action,Adventure'",'Robert Zemeckis',"'Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright'",2007,115,82.16
Big Hero 6,"'Animation,Action,Adventure'",'Don Hall',"'Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller'",2014,102,222.49
How to Train Your Dragon,"'Animation,Action,Adventure'",'Dean DeBlois',"'Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson'",2010,98,217.39
Kung Fu Panda,"'Animation,Action,Adventure'",'Mark Osborne',"'Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman'",2008,92,215.4
Minions,"'Animation,Action,Adventure'",'Kyle Balda',"'Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin'",2015,91,336.03
The Lego Movie,"'Animation,Action,Adventure'",'Phil Lord',"'Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett'",2014,100,257.76
Brave,"'Animation,Adventure,Comedy'",'Mark Andrews',"'Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters'",2012,93,237.28
Despicable Me,"'Animation,Adventure,Comedy'",'Pierre Coffin',"'Steve Carell, Jason Segel, Russell Brand, Julie Andrews'",2010,95,251.5
Fantastic Mr. Fox,"'Animation,Adventure,Comedy'",'Wes Anderson',"'George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman'",2009,87,21
Finding Dory,"'Animation,Adventure,Comedy'",'Andrew Stanton',"'Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson'",2016,97,486.29
Frozen,"'Animation,Adventure,Comedy'",'Chris Buck',"'Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad'",2013,102,400.74
Home,"'Animation,Adventure,Comedy'",'Tim Johnson',"'Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez'",2015,94,177.34
Inside Out,"'Animation,Adventure,Comedy'",'Pete Docter',"'Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling'",2015,95,356.45
Moana,"'Animation,Adventure,Comedy'",'Ron Clements',"'Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison'",2016,107,248.75
Monsters University,"'Animation,Adventure,Comedy'",'Dan Scanlon',"'Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren'",2013,104,268.49
Rio,"'Animation,Adventure,Comedy'",'Carlos Saldanha',"'Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher'",2011,96,143.62
Tangled,"'Animation,Adventure,Comedy'",'Nathan Greno',"'Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman'",2010,100,200.81
The Book of Life,"'Animation,Adventure,Comedy'",'Jorge R. Gutierrez',"'Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman'",2014,95,50.15
The Princess and the Frog,"'Animation,Adventure,Comedy'",'Ron Clements',"'Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos'",2009,97,104.37
The Secret Life of Pets,"'Animation,Adventure,Comedy'",'Chris Renaud',"'Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell'",2016,87,368.31
Toy Story 3,"'Animation,Adventure,Comedy'",'Lee Unkrich',"'Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty'",2010,103,414.98
Up,"'Animation,Adventure,Comedy'",'Pete Docter',"'Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer'",2009,96,292.98
Kubo and the Two Strings,"'Animation,Adventure,Family'",'Travis Knight',"'Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes'",2016,101,48.02
WALL-E,"'Animation,Adventure,Family'",'Andrew Stanton',"'Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard'",2008,98,223.81
Enchanted,"'Animation,Comedy,Family'",'Kevin Lima',"'Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey'",2007,107,127.71
Happy Feet,"'Animation,Comedy,Family'",'George Miller',"'Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams'",2006,108,197.99
Ratatouille,"'Animation,Comedy,Family'",'Brad Bird',"'Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm'",2007,111,206.44
Coraline,"'Animation,Family,Fantasy'",'Henry Selick',"'Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders'",2009,100,75.28
The Wolf of Wall Street,"'Biography,Comedy,Crime'",'Martin Scorsese',"'Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey'",2013,180,116.87
Eddie the Eagle,"'Biography,Comedy,Drama'",'Dexter Fletcher',"'Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley'",2016,106,15.79
Florence Foster Jenkins,"'Biography,Comedy,Drama'",'Stephen Frears',"'Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson'",2016,111,27.37
Saving Mr. Banks,"'Biography,Comedy,Drama'",'John Lee Hancock',"'Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell'",2013,125,83.3
The Big Short,"'Biography,Comedy,Drama'",'Adam McKay',"'Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt'",2015,130,70.24
American Gangster,"'Biography,Crime,Drama'",'Ridley Scott',"'Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin'",2007,157,130.13
Black Mass,"'Biography,Crime,Drama'",'Scott Cooper',"'Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton'",2015,123,62.56
Freedom Writers,"'Biography,Crime,Drama'",'Richard LaGravenese',"'Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn'",2007,123,36.58
Legend,"'Biography,Crime,Drama'",'Brian Helgeland',"'Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson'",2015,132,1.87
Notorious,"'Biography,Crime,Drama'",'George Tillman Jr.',"'Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione'",2009,122,36.84
Public Enemies,"'Biography,Crime,Drama'",'Michael Mann',"'Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke'",2009,140,97.03
The Assassination of Jesse James by the Coward Robert Ford,"'Biography,Crime,Drama'",'Andrew Dominik',"'Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker'",2007,160,3.9
The Infiltrator,"'Biography,Crime,Drama'",'Brad Furman',"'Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan'",2016,127,15.43
12 Years a Slave,"'Biography,Drama,History'",'Steve McQueen',"'Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt'",2013,134,56.67
Argo,"'Biography,Drama,History'",'Ben Affleck',"'Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin'",2012,120,136.02
Hacksaw Ridge,"'Biography,Drama,History'",'Mel Gibson',"'Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer'",2016,139,67.12
Hidden Figures,"'Biography,Drama,History'",'Theodore Melfi',"'Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner'",2016,127,169.27
Lincoln,"'Biography,Drama,History'",'Steven Spielberg',"'Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt'",2012,150,182.2
Marie Antoinette,"'Biography,Drama,History'",'Sofia Coppola',"'Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis'",2006,123,15.96
Straight Outta Compton,"'Biography,Drama,History'",'F. Gary Gray',"'O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.'",2015,147,161.03
The Other Boleyn Girl,"'Biography,Drama,History'",'Justin Chadwick',"'Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess'",2008,115,26.81
Changeling,"'Biography,Drama,Mystery'",'Clint Eastwood',"'Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith'",2008,141,35.71
The Danish Girl,"'Biography,Drama,Romance'",'Tom Hooper',"'Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw'",2015,119,12.71
The Theory of Everything,"'Biography,Drama,Romance'",'James Marsh',"'Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry'",2014,123,35.89
Chuck,"'Biography,Drama,Sport'",'Philippe Falardeau',"'Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber'",2016,98,0.11
Moneyball,"'Biography,Drama,Sport'",'Bennett Miller',"'Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman'",2011,133,75.61
The Blind Side,"'Biography,Drama,Sport'",'John Lee Hancock',"'Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head'",2009,129,255.95
Unbroken,"'Biography,Drama,Sport'",'Angelina Jolie',"'Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund'",2014,137,115.6
Captain Phillips,"'Biography,Drama,Thriller'",'Paul Greengrass',"'Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener'",2013,134,107.1
A Quiet Passion,"'Biography,Drama'",'Terence Davies',"'Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine'",2016,125,1.08
Dallas Buyers Club,"'Biography,Drama'",'Jean-Marc Vallee',"'Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn'",2013,117,27.3
Genius,"'Biography,Drama'",'Michael Grandage',"'Colin Firth, Jude Law, Nicole Kidman, Laura Linney'",2016,104,1.36
The King's Speech,"'Biography,Drama'",'Tom Hooper',"'Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi'",2010,118,138.8
The Man Who Knew Infinity,"'Biography,Drama'",'Matt Brown',"'Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi'",2015,108,3.86
The Pursuit of Happyness,"'Biography,Drama'",'Gabriele Muccino',"'Will Smith, Thandie Newton, Jaden Smith, Brian Howe'",2006,117,162.59
The Social Network,"'Biography,Drama'",'David Fincher',"'Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara'",2010,120,96.92
Focus,"'Comedy,Crime,Drama'",'Glenn Ficarra',"'Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez'",2015,105,53.85
In Bruges,"'Comedy,Crime,Drama'",'Martin McDonagh',"'Colin Farrell, Brendan Gleeson, Ciarán Hinds,Elizabeth Berrington'",2008,107,7.76
Pain & Gain,"'Comedy,Crime,Drama'",'Michael Bay',"'Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub'",2013,129,49.87
War Dogs,"'Comedy,Crime,Drama'",'Todd Phillips',"'Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner'",2016,114,43.02
The Family,"'Comedy,Crime,Thriller'",'Luc Besson',"'Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo'",2013,111,36.92
Get Hard,"'Comedy,Crime'",'Etan Cohen',"'Will Ferrell, Kevin Hart, Alison Brie, T.I.'",2015,100,90.35
Horrible Bosses,"'Comedy,Crime'",'Seth Gordon',"'Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe'",2011,98,117.53
Seven Psychopaths,"'Comedy,Crime'",'Martin McDonagh',"'Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken'",2012,110,14.99
17 Again,"'Comedy,Drama,Family'",'Burr Steers',"'Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon'",,102,64.15
Hairspray,"'Comedy,Drama,Family'",'Adam Shankman',"'John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer'",2007,117,118.82
About Time,"'Comedy,Drama,Fantasy'",'Richard Curtis',"'Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson'",2013,123,15.29
The Host,"'Comedy,Drama,Horror'",'Bong Joon Ho',"'Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae'",2006,120,2.2
Tusk,"'Comedy,Drama,Horror'",'Kevin Smith',"'Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez'",2014,102,1.82
Footloose,"'Comedy,Drama,Music'",'Craig Brewer',"'Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell'",2011,113,51.78
La La Land,"'Comedy,Drama,Music'",'Damien Chazelle',"'Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons'",2016,128,151.06
Magic Mike XXL,"'Comedy,Drama,Music'",'Gregory Jacobs',"'Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez'",2015,115,
(500) Days of Summer,"'Comedy,Drama,Romance'",'Marc Webb',"'Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz'",2009,95,32.39
A Good Year,"'Comedy,Drama,Romance'",'Ridley Scott',"'Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard'",2006,117,7.46
